 -0.178870  0.487905 -0.449810 -0.431178  0.343074  0.535900 -0.523905  0.069480
  0.074457 -0.025400  0.048212  0.048212 -0.033968 -0.127663  0.132212 -0.190656
  0.123611  0.230282 -0.190656  0.123611 -0.127663  0.132212 -0.261825  0.125204
  0.037683  0.037683 -0.044468  0.067672  0.067672 -0.279551 -0.127319  0.075066
  0.075066  0.075066  0.590892 -0.497386  0.108836  0.108407 -0.245558  0.130366
 -0.048556  0.152197 -0.376848  0.160301 -0.178870  0.487905 -0.449810 -0.431178
  0.343074  0.535900 -0.523905  0.069480  0.074457 -0.025400  0.048212  0.048212
 -0.033968 -0.127663  0.132212 -0.190656  0.123611  0.230282 -0.190656  0.123611
 -0.127663  0.132212 -0.261825  0.125204  0.037683  0.037683 -0.044468  0.067672
  0.067672 -0.279551 -0.127319  0.075066  0.075066  0.075066  0.590892 -0.497386
  0.108836  0.108407 -0.245558  0.130366 -0.048556  0.152197 -0.376848  0.160301
